Question,Top Match 1,Cosine Similarity 1,Top Match 2,Cosine Similarity 2,Generated Response
What is the plot of 'The Shawshank Redemption'?,"The Shawshank Redemption, released on 1994-09-23, is a ['Drama', 'Crime'] movie with a plot of: that is about Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.. It has a popularity score of 69.056, assigned to the movie by TMDB based on user engagement. It generated 28341469.0 USD in revenue.",0.89057136,"24: Redemption, released on 2008-11-23, is a ['Action', 'Adventure', 'Crime'] movie with a plot of: that is about Former federal agent Jack Bauer confronts African dictator Benjamin Juma, whose forces have been ordered to capture the children Bauer oversees for malicious military training.. It has a popularity score of 12.735, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.8280723,"Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden."
Which movie has the highest revenue?,"Everest, released on 2015-09-10, is a ['Adventure', 'Drama', 'History'] movie with a plot of: that is about Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.. It has a popularity score of 24.865, assigned to the movie by TMDB based on user engagement. It generated 203427584.0 USD in revenue.",0.837667,"The Jewel of the Nile, released on 1985-08-01, is a ['Adventure', 'Action', 'Comedy', 'Romance'] movie with a plot of: that is about Joan Wilder is thrust back into a world of murder, chases, foreign intrigue... and love. This time out she's duped by a duplicitous Arab dignitary who brings her to the Middle East, ostensibly to write a book about his life. Of course, he's up to no good, and Joan is just another pawn in his wicked game. But Jack Colton and his sidekick Ralph show up to help our intrepid heroine save the day.. It has a popularity score of 20.581, assigned to the movie by TMDB based on user engagement. It generated 96773200.0 USD in revenue.",0.8376228,Top Match: Everest
Tell me about the movie released in 1994 with Tim Robbins.,"The Getaway, released on 1994-02-11, is a ['Action', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller'] movie with a plot of: that is about Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up to something big, so he tells his wife (Carol McCoy) to tell him that he's for sale if Benyon can get him out of prison. Benyon pulls some strings and Doc McCoy is released again. Unfortunately he has to cooperate with the same person that got him to prison.. It has a popularity score of 18.11, assigned to the movie by TMDB based on user engagement. It generated 30057974.0 USD in revenue.",0.84142804,"Annie, released on 1999-11-07, is a ['Music', 'Family', 'Comedy'] movie with a plot of: that is about Things seem pretty bad for a young girl living a ""hard-knock life"" in an orphanage. Fed up with the dastardly Miss Hannigan, Annie escapes the run-down orphanage determined to find her mom and dad. It's an adventure that takes her from the cold, mean streets of New York to the warm, comforting arms of bighearted billionaire Oliver Warbucks - with plenty of mischief and music in between.. It has a popularity score of 17.378, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.8377005,It has a popularity score of 18.11
What genre is 'Inception'?,"Inception, released on 2010-07-15, is a ['Action', 'Science Fiction', 'Adventure'] movie with a plot of: that is about Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.. It has a popularity score of 84.012, assigned to the movie by TMDB based on user engagement. It generated 825532764.0 USD in revenue.",0.8674259,"Coma, released on 2019-11-19, is a ['Science Fiction', 'Adventure', 'Action'] movie with a plot of: that is about A young and talented architect comes to his senses after a horrific accident only to find himself in the odd dystopian world. A world that is filled with the memories of all current coma patients. Just like a human memory this world is fragmental, chaotic and unstable. This is COMA: icecaps, rivers and cities can all exist in a space of a single room and laws of physics are no longer laws as they can be bent.. It has a popularity score of 30.36, assigned to the movie by TMDB based on user engagement. It generated 2363584.0 USD in revenue.",0.8325106,science fiction
How much revenue did 'Avatar' generate?,"Avatar, released on 2009-12-15, is a ['Action', 'Adventure', 'Fantasy', 'Science Fiction'] movie with a plot of: that is about In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.. It has a popularity score of 250.238, assigned to the movie by TMDB based on user engagement. It generated 2923706026.0 USD in revenue.",0.87930083,"Avatar: Creating the World of Pandora, released on 2010-02-07, is a ['Documentary'] movie with a plot of: that is about The Making-of James Cameron's Avatar. It shows interesting parts of the work on the set.. It has a popularity score of 43.246, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.86017,2923706026.0 USD
Describe a horror movie in the dataset.,"[REC], released on 2007-11-23, is a ['Horror', 'Mystery'] movie with a plot of: that is about A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.. It has a popularity score of 25.626, assigned to the movie by TMDB based on user engagement. It generated 32511655.0 USD in revenue.",0.858097,"Undeaducated, released on 2023-05-01, is a ['Horror'] movie with a plot of: that is about So, what might happen if you were stuck late at school when the zombie apocalypse happens? What's going on? Is this all part of some twisted experiment the professor is conducting on the kids? Did the crazy Cook do it? Will they see tomorrow? Well, that's the situation our group of high-schoolers find themselves in, in ""Undeaducated"".. It has a popularity score of 32.645, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.84464264,Top Match: [REC]
"Which movie was released first, 'Titanic' or 'The Matrix'?","The Matrix, released on 1999-03-30, is a ['Action', 'Science Fiction'] movie with a plot of: that is about Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.. It has a popularity score of 66.73, assigned to the movie by TMDB based on user engagement. It generated 463517383.0 USD in revenue.",0.84918547,"Titanic, released on 1997-11-18, is a ['Drama', 'Romance'] movie with a plot of: that is about 101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.. It has a popularity score of 118.122, assigned to the movie by TMDB based on user engagement. It generated 2264162353.0 USD in revenue.",0.823379,The Matrix
What is the most popular animated movie?,"The Many Adventures of Winnie the Pooh, released on 1977-03-11, is a ['Animation', 'Family'] movie with a plot of: that is about Whether we’re young or forever young at heart, the Hundred Acre Wood calls to that place in each of us that still believes in magic. Join pals Pooh, Piglet, Kanga, Roo, Owl, Rabbit, Tigger and Christopher Robin as they enjoy their days together and sing their way through adventures.. It has a popularity score of 22.49, assigned to the movie by TMDB based on user engagement. It generated an unknown amount in revenue.",0.834901,"Winnie the Pooh, released on 2011-04-06, is a ['Animation', 'Family', 'Adventure'] movie with a plot of: that is about During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Owl convinces Pooh, Tigger, Rabbit, Piglet, Kanga, Roo, and Eeyore that their young friend has been captured by a creature named ""Backson"" and they set out to rescue him.. It has a popularity score of 18.266, assigned to the movie by TMDB based on user engagement. It generated 14460000.0 USD in revenue.",0.83474976,Top Match: The Many Adventures of Winnie the Pooh
Give me the plot of 'The Super Mario Bros. Movie'.,"The Super Mario Bros. Movie, released on 2023-04-05, is a ['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy'] movie with a plot of: that is about While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.. It has a popularity score of 3394.458, assigned to the movie by TMDB based on user engagement. It generated 1308766975.0 USD in revenue.",0.8710122,"Super Mario Bros., released on 1993-05-28, is a ['Adventure', 'Fantasy', 'Comedy', 'Family', 'Science Fiction'] movie with a plot of: that is about Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.. It has a popularity score of 35.011, assigned to the movie by TMDB based on user engagement. It generated 20915465.0 USD in revenue.",0.8702165,"The Super Mario Bros. Movie is a movie about a Brooklyn plumber who is working underground to fix a water main. The brothers are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi."
Find a movie about space exploration.,"The Black Hole, released on 1979-12-18, is a ['Adventure', 'Family', 'Science Fiction', 'Action'] movie with a plot of: that is about The explorer craft USS Palomino is returning to Earth after a fruitless 18-month search for extra-terrestrial life when the crew comes upon a supposedly lost ship, the USS Cygnus, hovering near a black hole. The ship is controlled by Dr. Hans Reinhardt and his monstrous robot companion, but the initial wonderment and awe the Palomino crew feel for the ship and its resistance to the power of the black hole turn to horror as they uncover Reinhardt's plans.. It has a popularity score of 12.651, assigned to the movie by TMDB based on user engagement. It generated 35841901.0 USD in revenue.",0.8482971,"Spaceballs, released on 1987-06-24, is a ['Comedy', 'Science Fiction'] movie with a plot of: that is about When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?. It has a popularity score of 22.799, assigned to the movie by TMDB based on user engagement. It generated 38119483.0 USD in revenue.",0.8463738,Top Match: The Black Hole is a science fiction film based on the novel of the same name by American writer and director Hans Reinhardt.
